l_english:
 death_shihao.custom:0 "另择谥号"
shihao_zhe:0 "哲"
shihao_zhen:0 "真"
shihao_zhong:0 "中"
shihao_zhuang:0 "庄"
 
 shihao_yang_king:0 "炀王"
 shihao_hui_king:0 "惠王"
 shihao_ai_king:0 "哀王"
 shihao_jian_king:0 "俭王"
 shihao_dao_king:0 "悼王"
 shihao_si_king:0 "思王"
 shihao_ming_king:0 "明王"
 shihao_kai_king:0 "康王"
 shihao_cheng_king:0 "昭王"
 shihao_ci_king:0 "慈王"
 shihao_ding_king:0 "定王"
 shihao_wu_king:0 "武王"
 shihao_mingwu_king:0 "明武王"
 shihao_lie_king:0 "烈王"
 shihao_wen_king:0 "文王"
 shihao_jing_king:0 "景王"

 nick_taizu:0 "太祖"
 nick_chengzu:0 "成祖"
 nick_chunzu:0 "纯祖"

 #特质事件谥号# 

 shihao_aizong:0 "孝愍"
 shihao_anzong:0 "宣仁度孝简"
 shihao_chengzong:0 "钦明广孝"
 shihao_chongzong:0 "圣文"
 shihao_chunzong:0 "睿圣至诚"
 shihao_daizong:0 "睿文孝武"
 shihao_daizong1:0 "昭文孝端"
 shihao_daozong:0 "孝文"
 shihao_dezong:0 "神武孝文"
 shihao_dingzong:0 "简平孝靖"
 shihao_duzong:0 "端文明武景孝"
 shihao_duanzong:0 "裕文昭武愍孝"
 shihao_gaozong:0 "天皇大圣大弘孝"
 shihao_gongzong:0 "懿圣景穆"
 shihao_guangzong:0 "圣哲慈孝"
 shihao_huaizong:0 "孝思"
 shihao_huanzong:0 "圣德神功文武"
 shihao_huizong:0 "宪慈显孝"
 shihao_huizong1:0 "康靖孝恭"
 shihao_jianzong:0 "昭明光孝"
 shihao_jingzong:0 "昭宣光烈孝"
 shihao_jinzong:0 "睿武昭愍孝"
 shihao_jinzong1:0 "孝安"
 shihao_kangzong:0 "献敏恭简"
 shihao_lizong:0 "孝端"
 shihao_lizong1:0 "圣明安孝"
 shihao_liezong:0 "昭文孝武"
 shihao_mingzong:0 "至德和武钦孝"
 shihao_muzong:0 "孝安敬正"
 shihao_ningzong:0 "冲圣嗣孝"
 shihao_qingzong:0 "恭文顺德仁孝"
 shihao_renzong:0 "文圣武睿哲明孝"
 shihao_ruizong:0 "玄真大圣大兴孝"
 shihao_shaozong:0 "洪仁大孝"
 shihao_shenzong:0 "绍天法古钦仁圣孝"
 shihao_shengzong:0 "文武睿哲功德大成"
 shihao_shizong:0 "孝和庄宪"
 shihao_sizong:0 "安乐"
 shihao_shunzong:0 "至德弘道大圣大安孝"
 shihao_suzong:0 "文明武德大圣大宣孝"
 shihao_taizong:0 "神功圣德文武"
 shihao_weizong:0 "圣神恭肃文武"
 shihao_wenzong:0 "元圣昭献孝"
 shihao_wuzong:0 "至道昭肃孝"
 shihao_xizong:0 "庄靖孝成"
 shihao_xizong1:0 "靖穆庄勤"
 shihao_xizong2:0 "惠圣恭定孝"
 shihao_xianzong:0 "光圣仁孝"
 shihao_xianzong1:0 "昭文章武大圣至神孝"
 shihao_xianzong2:0 "恭检敬文"
 shihao_xiangzong:0 "武惠敬穆"
 shihao_xiaozong:0 "明圣成孝"
 shihao_xuanzong:0 "神聪懿道大孝"
 shihao_xuanzong1:0 "至道大圣大明孝"
 shihao_yizong:0 "文献孝敬"
 shihao_yizong1:0 "英肃睿哲"
 shihao_yizong2:0 "昭献简恭"
 shihao_yizong3:0 "睿文昭圣恭惠"
 shihao_yingzong:0 "宪文肃武睿圣宣孝"
 shihao_yuzong:0 "文惠明孝"
 shihao_yuanzong:0 "明道崇德文宣孝"
 shihao_zhangzong:0 "神圣英孝"
 shihao_zhaozong:0 "圣穆景文孝"
 shihao_zhezong:0 "齐圣昭孝"
 shihao_zhenzong:0 "章圣元孝"
 shihao_zhongzong:0 "大和大圣大昭孝"
 shihao_zhuangzong:0 "光圣神闵孝"
#历史谥号补充
 shihao_gaozu:0 "神尧大圣大光孝"
 shihao_taizu_song:0 "启运立极英武睿文神德圣功至明大孝"
 shihao_taizong_song:0 "至仁应运神功圣德文武睿烈大明广孝"

#议定谥号
 death_shihao.001.title:0 "议定谥号"
 death_shihao.001.desc:0 "隐哀之方，景武之方也，施为文也，除为武也，辟地为襄，服远为桓，刚克为发，柔克为懿，履正为庄，有过为僖，施而不成为宣，惠无内德为平。失志无转，则以其明，余皆象也。"
 death_shihao.000.a:0 "好和不争，在国遭忧，谥曰安！"
 death_shihao.000.b:0 "早孤短折，有知夭殇，谥曰哀！"
 death_shihao.000.c:0 "礼乐明具，威仪悉备，谥曰成！"
 death_shihao.000.d:0 "能修其官，敬宾厚礼，谥曰纯！"
 death_shihao.000.e:0 "至诚无息，先觉体元，谥曰代！"
 death_shihao.000.f:0 "景物四方，恭仁康定，谥曰戴！"
 death_shihao.000.g:0 "爱民好治，典礼不愆，谥曰道！"
 death_shihao.000.h:0 "经纬天地，道德博闻，谥曰孝文！"
 death_shihao.000.i:0 "贵而好礼，绥柔士民，谥曰德！"
 death_shihao.000.j:0 "安民大虑，纯行不爽，谥曰定！"
 death_shihao.000.k:0 "宽裕有容，心能制义，谥曰度！"
 death_shihao.000.l:0 "圣修式化，刚强直理，谥曰端！"
 death_shihao.000.m:0 "功德盛大，五宗安之，谥曰高！"
 death_shihao.000.n:0 "勤恤民隐，尊贤敬让，谥曰恭！"
 death_shihao.000.o:0 "能绍前业，慈惠爱亲，谥曰光！"
 death_shihao.000.p:0 "慈仁短折，大省兆民，谥曰怀！"
 death_shihao.000.q:0 "武定四方，辟土服远，谥曰桓！"
 death_shihao.000.r:0 "元德充美，温柔好乐，谥曰徽！"
 death_shihao.000.s:0 "泽及万世，柔质慈民，谥曰惠！"
 death_shihao.000.t:0 "正直无邪，一德不懈，谥曰简！"
 death_shihao.000.u:0 "耆意大虑，由义而济，谥曰景！"
 death_shihao.000.v:0 "众方克就，合善典法，谥曰敬！"
 death_shihao.000.w:0 "宽乐令终，恭己鲜言，谥曰靖！"
 death_shihao.000.x:0 "渊源流通，安乐抚民，谥曰康！"
 death_shihao.000.y:0 "纳民轨物，敬身思戒，谥曰礼！"
 death_shihao.000.z:0 "政平刑肃，布纲治纪，谥曰理！"
 death_shihao.000.a1:0 "光有大功，秉德尊业，谥曰烈！"
 death_shihao.000.b1:0 "保民耆艾，弥年寿考，谥曰明！"
 death_shihao.000.c1:0 "圣敬有仪，布德执义，谥曰穆！"
 death_shihao.000.d1:0 "端重自毖，择善而从，谥曰宁！"
