l_english:
 death_shihao.custom:0 "Choose another posthumous name"
 shihao_shaozong:0 "Flood of Benevolence Great Filial"
 shihao_shenzong:0 "Succession Heavenly Law Ancient Proclamation Benevolence Sanctified Filial"
 shihao_shengzong:0 "Literary Martial Wise Philosopher Accomplishments of Virtue Great Achievement"
 shihao_shizong:0 "Filial Harmony Solemn Constitution"
 shihao_sizong:0 "Peace and Joy"
 shihao_shunzong:0 "Ultimate Virtue Grand Dao Great Saint Great Peace Filial"
 shihao_suzong:0 "Civilized Martial Virtue Great Saint Great Proclamation Filial"
 shihao_taizong:0 "Divine Achievements Holy Virtue Literature and Martial"
 shihao_weizong:0 "Holy Divine Respectful Solemn Literature and Martial"
 shihao_wenzong:0 "Primary Holy Illustrious Offering Filial"
 shihao_wuzong:0 "Ultimate Dao Illustrious Solemn Filial"
 shihao_xizong:0 "Solemn Peace Filial Achievement"
 shihao_xizong1:0 "Peaceful Profound Solemn Diligent"
 shihao_xizong2:0 "Gracious Holy Respectful Determined Filial"
 shihao_xianzong:0 "Illuminating Holy Benevolent Filial"
 shihao_xianzong1:0 "Illustrious Literature Martial Great Saint Greater Divine Filial"
 shihao_xianzong2:0 "Respectful Inspection and Literature"
 shihao_xiangzong:0 "Martial Benevolence Respectful Serene"
 shihao_xiaozong:0 "Bright Holy Achievement Filial"
 shihao_xuanzong:0 "Divine Wise Gracious Path Great Filial"
 shihao_xuanzong1:0 "Ultimate Path Great Saint Great Bright Filial"
 shihao_yizong:0 "Literary Offered Filial Respectful"
 shihao_yizong1:0 "Heroic Solemn Wise Philosopher"
 shihao_yizong2:0 "Illustrious Offering Simple Respectful"
 shihao_yizong3:0 "Wise Literature Illustrious Sacred Respectful Beneficial"
 shihao_yingzong:0 "Constitution Literary Solemn Martial Wise Sacred Proclamation Filial"
 shihao_yuzong:0 "Literary Beneficial Bright Filial"
 shihao_yuanzong:0 "Illustrious Path Promoting Virtue Literature Proclaimed Filial"
 shihao_zhangzong:0 "Divine Holy Heroic Filial"
 shihao_zhaozong:0 "Holy Serene Spectacular Literary Filial"
 shihao_zhezong:0 "All Holy Bright Filial"
 shihao_zhenzong:0 "Chapter Holy Original Filial"
 shihao_zhongzong:0 "Great Harmonious Great Holy Great Bright Filial"
 shihao_zhuangzong:0 "Illuminated Holy Divine Grieved Filial"
#Supplementary Historical Posthumous Names
 shihao_gaozu:0 "Divine Yao Great Sage Great Illuminated Filial"
 shihao_taizu_song:0 "Initiate Fortune Establish Virtue Heroic Wise Divine Virtue Sacred Accomplishments Ultimate Bright Great Filial"
 shihao_taizong_song:0 "Ultimate Benevolence Responding to Fortune Divine Achievements Sacred Virtue Literature and Martial Wise Ferocious Great Filial"

#Agreed Posthumous Names
 death_shihao.001.title:0 "Agreed Posthumous Names"
 death_shihao.001.desc:0 "The way of hidden mourning, the way of prosperous martial valor, acts of culture, removal by military, opening lands to assist, serving afar to maintain, strong victory as 'Rise', soft victory as 'Gracious', stepping rightly as 'Solemn', having faults as 'Benevolent', acting without success as 'Declaration', kindness without internal virtue as 'Pacification'. If aspirations are lost and there are no changes, then by its clarity, all else is an imitation."
 death_shihao.000.a:0 "Prefers peace and avoids conflict, grieves in the country, posthumous name is Peace!"
 death_shihao.000.b:0 "Lost early and truncated, foreseeing early death, posthumous name is Mourning!"
 death_shihao.000.c:0 "Rituals are clear and complete, all ceremonies are in order, posthumous name is Achievement!"
 death_shihao.000.d:0 "Able to reform their officials, respecting guests and providing ample gifts, posthumous name is Pure!"
 death_shihao.000.e:0 "Sincerity without rest, keen awareness of origin, posthumous name is Dynasty!"
 death_shihao.000.f:0 "Respectful and benevolent towards all directions, posthumous name is Wear!"
 death_shihao.000.g:0 "Loving the people and governing well, rituals not in error, posthumous name is Path!"
 death_shihao.000.h:0 "Weaving the world, possessing extensive morals, posthumous name is Filial Literature!"
 death_shihao.000.i:0 "Noble and respectful gifts, gently comforting the people, posthumous name is Virtue!"
 death_shihao.000.j:0 "Peace for the people, pure conduct without error, posthumous name is Determined!"
 death_shihao.000.k:0 "Generous and accommodating, able to govern with righteousness, posthumous name is Measure!"
 death_shihao.000.l:0 "Holy reforms and principles, strong and upright reason, posthumous name is Proper!"
 death_shihao.000.m:0 "Accomplishments are grand, bringing peace to all, posthumous name is High!"
 death_shihao.000.n:0 "Diligent and protective of the people's welfare, honoring virtuous individuals, posthumous name is Respectful!"
 death_shihao.000.o:0 "Capable of continuing prior achievements, kind and loving, posthumous name is Illuminating!"
 death_shihao.000.p:0 "Compassionate towards the populace, greatly concerned for the common people, posthumous name is Embrace!"
 death_shihao.000.q:0 "Martial and stabilizing across lands, aiding and serving wide, posthumous name is Maintaining!"
 death_shihao.000.r:0 "Fundamental virtue shines, gentle and joyous, posthumous name is Emblem!"
 death_shihao.000.s:0 "Grace benefits all generations, gentle quality towards the populace, posthumous name is Beneficial!"
 death_shihao.000.t:0 "Upright and uncorrupted, undeterred in principles, posthumous name is Simple!"
 death_shihao.000.u:0 "Wise with great concerns, alleviating through righteousness, posthumous name is Spectacular!"
 death_shihao.000.v:0 "Gathering all around, unifying goodness in laws, posthumous name is Respectful!"
 death_shihao.000.w:0 "Generous and joyful to the end, humble in speech, posthumous name is Peaceful!"
 death_shihao.000.x:0 "Source flows smoothly, peaceful and nurturing to the populace, posthumous name is Healthy!"
 death_shihao.000.y:0 "Embracing the people and regulating customs, respecting oneself and reflecting, posthumous name is Ritual!"
 death_shihao.000.z:0 "Just governance and strict laws, establishing order and discipline, posthumous name is Reason!"
 death_shihao.000.a1:0 "Brilliance comes from great deeds, upholding virtue and respecting achievements, posthumous name is Ferocious!"
 death_shihao.000.b1:0 "Protecting the elderly among the people, extending longevity, posthumous name is Illustrious!"
 death_shihao.000.c1:0 "Holy respect has principles, spreading virtue and upholding righteousness, posthumous name is Serene!"
 death_shihao.000.d1:0 "Upright and serious, choosing good and following, posthumous name is Peaceful!"
